# id	left	top	right	bottom	texture_id
[SPRITES]
#BLACK
1000000000	7	0	328	100	32

#HUD
1000000001	11	128	164	167	34
#NUMBER
##0
1000000002	77	31	86	38	34
##1
1000000003	88	31	95	38	34
##2
1000000004	97	31	106	38	34
##3
1000000005	107	31	116	38	34
##4
1000000006	117	31	126	38	34
##5
1000000007	127	31	136	38	34
##6
1000000008	137	31	146	38	34
##7
1000000009	147	31	156	38	34
##8
1000000010	157	31	166	38	34
##9
1000000011	167	31	176	38	34

#ITEMBOX1
1000000012	155	159	180	188	34
#ITEMBOX2
1000000013	181	159	206	188	34
#ITEMBOX3
1000000014	207	159	232	188	34
#ITEMBOX4
1000000015	233	159	258	188	34

#ARROW
##BLACK
1000000016	90	161	99	170	34
##WHITE
1499999999	63	161	72	170	34
63	161	72	170	34

#POWER
##BLACK
1000000018	100	161	115	170	34
##WHITE
1000000019	73	161	88	170	34


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
